[2025-07-19 21:31:52] example.com  182.00 ms  (min: 181.00  max: 188.00  avg: 183.98)
[2025-07-19 21:31:54] 8.8.8.8  25.00 ms  (min: 24.00  max: 31.00  avg: 26.29)
[2025-07-19 21:31:54] 1.1.1.1  24.00 ms  (min: 22.00  max: 58.00  avg: 25.17)
[2025-07-19 21:31:54] example.com  184.00 ms  (min: 181.00  max: 188.00  avg: 183.98)
[2025-07-19 21:31:57] 8.8.8.8  27.00 ms  (min: 24.00  max: 31.00  avg: 26.30)
[2025-07-19 21:31:57] 1.1.1.1  23.00 ms  (min: 22.00  max: 58.00  avg: 25.13)
[2025-07-19 21:31:57] example.com  183.00 ms  (min: 181.00  max: 188.00  avg: 183.97)
[2025-07-19 21:31:59] 8.8.8.8  28.00 ms  (min: 24.00  max: 31.00  avg: 26.32)
[2025-07-19 21:31:59] 1.1.1.1  29.00 ms  (min: 22.00  max: 58.00  avg: 25.19)
[2025-07-19 21:31:59] example.com  183.00 ms  (min: 181.00  max: 188.00  avg: 183.95)
[2025-07-19 21:32:01] 8.8.8.8  25.00 ms  (min: 24.00  max: 31.00  avg: 26.30)
[2025-07-19 21:32:01] 1.1.1.1  26.00 ms  (min: 22.00  max: 58.00  avg: 25.20)
[2025-07-19 21:32:01] example.com  182.00 ms  (min: 181.00  max: 188.00  avg: 183.92)
[2025-07-19 21:32:03] 8.8.8.8  26.00 ms  (min: 24.00  max: 31.00  avg: 26.30)
[2025-07-19 21:32:03] 1.1.1.1  27.00 ms  (min: 22.00  max: 58.00  avg: 25.23)
[2025-07-19 21:32:03] example.com  182.00 ms  (min: 181.00  max: 188.00  avg: 183.89)
[2025-07-19 21:32:06] 8.8.8.8  26.00 ms  (min: 24.00  max: 31.00  avg: 26.30)
[2025-07-19 21:32:06] 1.1.1.1  23.00 ms  (min: 22.00  max: 58.00  avg: 25.20)
[2025-07-19 21:32:06] example.com  183.00 ms  (min: 181.00  max: 188.00  avg: 183.88)
[2025-07-19 21:32:09] 8.8.8.8  28.00 ms  (min: 28.00  max: 28.00  avg: 28.00)
[2025-07-19 21:32:09] 1.1.1.1  27.00 ms  (min: 27.00  max: 27.00  avg: 27.00)
[2025-07-19 21:32:09] example.com  183.00 ms  (min: 183.00  max: 183.00  avg: 183.00)
[2025-07-19 21:32:11] 8.8.8.8  25.00 ms  (min: 25.00  max: 28.00  avg: 26.50)
[2025-07-19 21:32:11] 1.1.1.1  24.00 ms  (min: 24.00  max: 27.00  avg: 25.50)
[2025-07-19 21:32:11] example.com  185.00 ms  (min: 183.00  max: 185.00  avg: 184.00)
[2025-07-19 21:32:14] 8.8.8.8  27.00 ms  (min: 25.00  max: 28.00  avg: 26.67)
[2025-07-19 21:32:14] 1.1.1.1  24.00 ms  (min: 24.00  max: 27.00  avg: 25.00)
[2025-07-19 21:32:14] example.com  184.00 ms  (min: 183.00  max: 185.00  avg: 184.00)
[2025-07-19 21:32:16] 8.8.8.8  32.00 ms  (min: 25.00  max: 32.00  avg: 28.00)
[2025-07-19 21:32:16] 1.1.1.1  26.00 ms  (min: 24.00  max: 27.00  avg: 25.25)
[2025-07-19 21:32:16] example.com  182.00 ms  (min: 182.00  max: 185.00  avg: 183.50)
[2025-07-19 21:32:18] 8.8.8.8  27.00 ms  (min: 25.00  max: 32.00  avg: 27.80)
[2025-07-19 21:32:18] 1.1.1.1  25.00 ms  (min: 24.00  max: 27.00  avg: 25.20)
[2025-07-19 21:32:18] example.com  187.00 ms  (min: 182.00  max: 187.00  avg: 184.20)
[2025-07-19 21:32:21] 8.8.8.8  25.00 ms  (min: 25.00  max: 32.00  avg: 27.33)
[2025-07-19 21:32:21] 1.1.1.1  25.00 ms  (min: 24.00  max: 27.00  avg: 25.17)
[2025-07-19 21:32:21] example.com  186.00 ms  (min: 182.00  max: 187.00  avg: 184.50)
[2025-07-19 21:32:23] 8.8.8.8  24.00 ms  (min: 24.00  max: 32.00  avg: 26.86)
[2025-07-19 21:32:23] 1.1.1.1  23.00 ms  (min: 23.00  max: 27.00  avg: 24.86)
[2025-07-19 21:32:23] example.com  182.00 ms  (min: 182.00  max: 187.00  avg: 184.14)
[2025-07-19 21:32:25] 8.8.8.8  25.00 ms  (min: 24.00  max: 32.00  avg: 26.62)
[2025-07-19 21:32:25] 1.1.1.1  32.00 ms  (min: 23.00  max: 32.00  avg: 25.75)
[2025-07-19 21:32:25] example.com  188.00 ms  (min: 182.00  max: 188.00  avg: 184.62)
[2025-07-19 21:32:27] 8.8.8.8  28.00 ms  (min: 24.00  max: 32.00  avg: 26.78)
[2025-07-19 21:32:27] 1.1.1.1  24.00 ms  (min: 23.00  max: 32.00  avg: 25.56)
[2025-07-19 21:32:27] example.com  187.00 ms  (min: 182.00  max: 188.00  avg: 184.89)
[2025-07-19 21:32:30] 8.8.8.8  26.00 ms  (min: 24.00  max: 32.00  avg: 26.70)
[2025-07-19 21:32:30] 1.1.1.1  28.00 ms  (min: 23.00  max: 32.00  avg: 25.80)
[2025-07-19 21:32:30] example.com  182.00 ms  (min: 182.00  max: 188.00  avg: 184.60)
